team,name,total_games,wins,avg_pts,avg_reb,avg_ast,avg_fg3a,avg_fg3_pct,losses,win_pct
ATL,Atlanta Hawks,3453,1722,102.10802200984651,42.91601505936867,22.552273385461916,17.136692730958586,0.3356941789748045,1731,0.49869678540399653
BKN,Brooklyn Nets,800,365,107.4525,43.43875,23.455,30.3275,0.35542124999999997,435,0.45625
BOS,Boston Celtics,3458,2006,104.73308270676692,42.940717177559286,23.88982070561018,17.845575477154423,0.3377223828802776,1452,0.5801041064198958
CHA,Charlotte Bobcats,722,272,94.73268698060942,40.49722991689751,21.22714681440443,15.375346260387811,0.3440387811634349,450,0.3767313019390582
CHA,Charlotte Hornets,711,318,106.72151898734177,44.09142053445851,23.69057665260197,30.991561181434598,0.3496019690576653,393,0.4472573839662447
CHH,Charlotte Hornets,1116,542,100.92652329749104,41.278673835125446,24.92293906810036,10.940860215053764,0.3483664874551971,574,0.48566308243727596
CHI,Chicago Bulls,3451,1766,101.82063170095624,43.437844103158504,23.667342799188642,15.533178788756882,0.34206143146913937,1685,0.5117357287742683
CLE,Cleveland Cavaliers,3451,1656,100.95827296435816,42.56099681251811,23.022602144306,16.551434366850188,0.35020312952767313,1795,0.47986090988119384
DAL,Dallas Mavericks,3379,1706,103.64160994377035,42.84137318733353,22.440366972477065,19.026635099141757,0.34867830719147674,1673,0.5048831015093223
DEN,Denver Nuggets,3459,1695,107.33766984677652,43.85111303845042,24.17895345475571,17.135877421220005,0.3323275513154091,1764,0.4900260190806591
DET,Detroit Pistons,3452,1715,101.43395133256084,43.092699884125146,22.421494785631516,16.40034762456547,0.335922943221321,1737,0.49681344148319817
GOS,Golden State Warriors,1394,614,110.51936872309899,43.285509325681495,23.977044476327116,11.607604017216643,0.3258048780487805,780,0.44045911047345765
GSW,Golden State Warriors,2057,998,104.74769081186193,43.74963539134662,24.12348079727759,23.520661157024794,0.35398395721925136,1059,0.48517258142926595
HOU,Houston Rockets,3458,1860,103.97137073452863,43.53903990746096,22.941006362058992,20.872180451127818,0.3389433198380567,1598,0.5378831694621168
IND,Indiana Pacers,3459,1729,102.9910378722174,42.894189071986126,23.3642671292281,16.903440300664933,0.34797195721306734,1730,0.4998554495518936
KCK,Kansas City Kings,492,231,110.1178861788618,43.8150406504065,25.158536585365855,15.786585365853659,0.3368252032520325,261,0.4695121951219512
LAC,LA Clippers,636,376,111.08333333333333,44.132075471698116,23.45125786163522,30.17924528301887,0.3757106918238994,260,0.5911949685534591
LAC,Los Angeles Clippers,2412,915,99.3955223880597,42.1318407960199,22.354477611940297,12.475124378109452,0.31420812603648424,1497,0.3793532338308458
LAL,Los Angeles Lakers,3457,2094,106.61643043100955,43.71102111657507,24.366213479895862,17.62105872143477,0.3412944749783049,1363,0.6057275094012149
MEM,Memphis Grizzlies,1687,814,100.80735032602253,42.333135743924124,21.93479549496147,20.414344991108475,0.34458861885002967,873,0.4825133372851215
MIA,Miami Heat,2721,1409,99.05439176773245,42.01911062109519,21.696802646086,18.760382212421902,0.3491278941565601,1312,0.517824329290702
MIL,Milwaukee Bucks,3459,1783,103.67476149176062,42.26597282451576,23.38190228389708,17.208730847065628,0.3490430760335357,1676,0.5154668979473837
MIN,Minnesota Timberwolves,2630,1060,100.80494296577947,41.915209125475286,23.27490494296578,16.185171102661595,0.3365600760456274,1570,0.40304182509505704
NJN,New Jersey Nets,2658,1125,99.88374717832957,43.23890142964635,22.469902182091797,12.978555304740407,0.32310684725357414,1533,0.42325056433408575
NOH,New Orleans Hornets,640,315,94.5734375,41.2125,21.1375,16.8515625,0.35094375,325,0.4921875
NOK,New Orleans/Oklahoma City Hornets,164,77,94.17073170731707,41.670731707317074,18.634146341463413,13.054878048780488,0.35421341463414635,87,0.4695121951219512
NOP,New Orleans Pelicans,800,363,108.5775,44.5275,24.5275,27.17125,0.35652625,437,0.45375
NYK,New York Knicks,3452,1619,101.11964078794901,42.56778679026651,22.302143684820393,17.34125144843569,0.3472502896871379,1833,0.4690034762456547
OKC,Oklahoma City Thunder,1112,608,106.61870503597122,45.10341726618705,21.508992805755394,25.533273381294965,0.3458318345323741,504,0.5467625899280576
ORL,Orlando Magic,2639,1248,101.14929897688518,42.834785903751424,21.91549829480864,19.78931413414172,0.34973740053050395,1391,0.4729064039408867
PHI,Philadelphia 76ers,2065,985,99.78014527845036,42.84358353510896,22.043099273607748,18.781113801452783,0.3352813559322034,1080,0.47699757869249393
PHL,Philadelphia 76ers,1394,760,106.40459110473458,42.71736011477762,23.416786226685797,7.9842180774748925,0.31227690100430416,634,0.5451936872309899
PHX,Phoenix Suns,3459,1928,107.13154090777681,43.0112749349523,24.77334489736918,17.769297484822204,0.3452029488291414,1531,0.5573865278982365
POR,Portland Trail Blazers,3460,1916,104.73265895953757,43.62630057803468,22.990462427745666,17.54450867052023,0.34719248554913296,1544,0.553757225433526
SAC,Sacramento Kings,2966,1268,103.58833445718139,42.566419420094405,23.26298044504383,16.892110586648684,0.34863890761968985,1698,0.4275118004045853
SAN,San Antonio Spurs,1394,770,109.7439024390244,44.46341463414634,25.46126255380201,9.961979913916787,0.3098077474892396,624,0.5523672883787661
SAS,San Antonio Spurs,2063,1311,101.01502666020359,43.095976732913236,22.802714493456133,19.78574890935531,0.3687212796897722,752,0.6354823073194377
SDC,San Diego Clippers,410,143,108.37317073170732,42.953658536585365,23.682926829268293,15.695121951219512,0.33858292682926827,267,0.348780487804878
SEA,Seattle SuperSonics,2346,1284,103.88022165387895,42.130434782608695,23.623614663256607,14.147485080988917,0.34640196078431373,1062,0.5473145780051151
TOR,Toronto Raptors,2146,1037,100.93196644920783,41.9054054054054,21.92730661696179,21.360205032618826,0.35732572227399817,1109,0.4832246039142591
UTA,Utah Jazz,2064,1186,101.28246124031008,42.58672480620155,23.503391472868216,18.84738372093023,0.35306346899224805,878,0.5746124031007752
UTH,Utah Jazz,1394,756,106.63629842180775,43.377331420373025,26.178622668579628,9.659971305595409,0.3271348637015782,638,0.5423242467718795
VAN,Vancouver Grizzlies,460,101,91.8804347826087,39.917391304347824,21.93695652173913,12.171739130434782,0.3385608695652174,359,0.21956521739130436
WAS,Washington Bullets,1476,633,103.46544715447155,42.519647696476966,23.808943089430894,9.746612466124661,0.29186111111111107,843,0.42886178861788615
WAS,Washington Wizards,1982,850,101.22704339051464,42.182643794147324,21.937436932391524,19.41271442986882,0.3472684157416751,1132,0.42885973763874874
