player_id,player_name,season,overall_pick,organization,organization_type,height_wo_shoes,weight,wingspan,bmi,total_pts,total_games_with_points,pts_per_game,total_assists,total_games_with_assists,assists_per_game,total_rebounds,total_games_with_rebounds,rebounds_per_game
600016,Maurice Stokes,1955,2,Saint Francis (PA),College/University,,,,,,,,,,,,,
77409,Jim Loscutoff,1955,3,Oregon,College/University,,,,,,,,,,,,,
78106,Ken Sears,1955,4,Santa Clara,College/University,,,,,,,,,,,,,
76429,Ed Conlin,1955,5,Fordham,College/University,,,,,,,,,,,,,
77055,Johnny Horan,1955,6,Dayton,College/University,,,,,,,,,,,,,
76877,Si Green,1956,1,Duquesne,College/University,,,,,,,,,,,,,
78049,Bill Russell,1956,2,San Francisco,College/University,,,,,,,,,,,,,
77818,Jim Paxson,1956,3,Dayton,College/University,,,,,,,,,,,,,
78128,Ron Shavlik,1956,4,North Carolina State,College/University,,,,,,,,,,,,,
77049,Joe Holup,1956,5,George Washington,College/University,,,,,,,,,,,,,
78216,Ron Sobie,1956,6,DePaul,College/University,,,,,,,,,,,,,
77352,Hal Lear,1956,7,Temple,College/University,,,,,,,,,,,,,
77082,Rod Hundley,1957,1,West Virginia,College/University,,,,,,,,,,,,,
78391,Charlie Tyra,1957,2,Louisville,College/University,,,,,,,,,,,,,
77311,Jim Krebs,1957,3,Southern Methodist,College/University,,,,,,,,,,,,,
78529,Win Wilfong,1957,4,Memphis,College/University,,,,,,,,,,,,,
77500,Brendan McCann,1957,5,St. Bonaventure,College/University,,,,,,,,,,,,,
78018,Lennie Rosenbluth,1957,6,North Carolina,College/University,,,,,,,,,,,,,
76203,George H. Bon Salle,1957,7,Illinois,College/University,,,,,,,,,,,,,
77196,Sam Jones,1957,8,North Carolina Central,College/University,,,,,,,,,,,,,
76127,Elgin Baylor,1958,1,Seattle,College/University,,,,,,,,,,,,,
76546,Archie Dees,1958,2,Indiana,College/University,,,,,,,,,,,,,
76694,Mike Farmer,1958,3,San Francisco,College/University,,,,,,,,,,,,,
76245,Pete Brennan,1958,4,North Carolina,College/University,,,,,,,,,,,,,
76566,Connie Dierking,1958,5,Cincinnati,College/University,,,,,,,,,,,,,
76774,Dave Gambee,1958,6,Oregon State,College/University,,,,,,,,,,,,,
78283,Bennie Swain,1958,7,Texas Southern,College/University,,,,,,,,,,,,,
76206,Bob Boozer,1959,1,Kansas State,College/University,,,,,,,,,,,,,
77070,Bailey Howell,1959,2,Mississippi State,College/University,,,,,,,,,,,,,
76977,Tom Hawkins,1959,3,Notre Dame,College/University,,,,,,,,,,,,,
76107,Dick Barnett,1959,4,Tennessee State,College/University,,,,,,,,,,,,,
76867,Johnny Green,1959,5,Michigan State,College/University,,,,,,,,,,,,,
77954,John Richter,1959,6,North Carolina State,College/University,,,,,,,,,,,,,
