season,team,avg_fg3_pct,wins,total_games,win_pct
1979,ATL,0.34049999999999997,50,82,0.6097560975609756
1979,BOS,0.34049999999999997,61,82,0.7439024390243902
1979,CHI,0.34049999999999997,30,82,0.36585365853658536
1979,CLE,0.34049999999999997,37,82,0.45121951219512196
1979,DEN,0.34049999999999997,30,82,0.36585365853658536
1979,DET,0.34049999999999997,16,82,0.1951219512195122
1979,GOS,0.34049999999999997,24,82,0.2926829268292683
1979,HOU,0.34049999999999997,41,82,0.5
1979,IND,0.34049999999999997,37,82,0.45121951219512196
1979,KCK,0.34049999999999997,47,82,0.573170731707317
1979,LAL,0.34049999999999997,60,82,0.7317073170731707
1979,MIL,0.3403170731707317,49,82,0.5975609756097561
1979,NJN,0.34049999999999997,34,82,0.4146341463414634
1979,NYK,0.34049999999999997,39,82,0.47560975609756095
1979,PHL,0.34049999999999997,59,82,0.7195121951219512
1979,PHX,0.3406829268292683,55,82,0.6707317073170732
1979,POR,0.34049999999999997,38,82,0.4634146341463415
1979,SAN,0.34049999999999997,41,82,0.5
1979,SDC,0.34049999999999997,35,82,0.4268292682926829
1979,SEA,0.34049999999999997,56,82,0.6829268292682927
1979,UTH,0.34049999999999997,24,82,0.2926829268292683
1979,WAS,0.34049999999999997,39,82,0.47560975609756095
1980,ATL,0.34049999999999997,31,82,0.3780487804878049
1980,BOS,0.34049999999999997,62,82,0.7560975609756098
1980,CHI,0.34049999999999997,45,82,0.5487804878048781
1980,CLE,0.34049999999999997,28,82,0.34146341463414637
1980,DAL,0.34049999999999997,15,82,0.18292682926829268
1980,DEN,0.34049999999999997,37,82,0.45121951219512196
1980,DET,0.34049999999999997,21,82,0.25609756097560976
1980,GOS,0.34049999999999997,39,82,0.47560975609756095
1980,HOU,0.34049999999999997,40,82,0.4878048780487805
1980,IND,0.34049999999999997,44,82,0.5365853658536586
1980,KCK,0.34049999999999997,40,82,0.4878048780487805
1980,LAL,0.34049999999999997,54,82,0.6585365853658537
1980,MIL,0.34049999999999997,60,82,0.7317073170731707
1980,NJN,0.34049999999999997,24,82,0.2926829268292683
1980,NYK,0.34049999999999997,50,82,0.6097560975609756
1980,PHL,0.34049999999999997,62,82,0.7560975609756098
1980,PHX,0.34049999999999997,57,82,0.6951219512195121
1980,POR,0.34049999999999997,45,82,0.5487804878048781
1980,SAN,0.34049999999999997,52,82,0.6341463414634146
1980,SDC,0.34049999999999997,36,82,0.43902439024390244
1980,SEA,0.34049999999999997,34,82,0.4146341463414634
1980,UTH,0.34049999999999997,28,82,0.34146341463414637
1980,WAS,0.34049999999999997,39,82,0.47560975609756095
1981,ATL,0.34995121951219516,42,82,0.5121951219512195
1981,BOS,0.33793902439024387,63,82,0.7682926829268293
1981,CHI,0.32189024390243903,34,82,0.4146341463414634
1981,CLE,0.33812195121951216,15,82,0.18292682926829268
1981,DAL,0.3482682926829268,28,82,0.34146341463414637
1981,DEN,0.3421829268292683,46,82,0.5609756097560976
1981,DET,0.3401463414634146,39,82,0.47560975609756095
1981,GOS,0.33237804878048777,45,82,0.5487804878048781
1981,HOU,0.3393170731707317,46,82,0.5609756097560976
1981,IND,0.3198536585365854,35,82,0.4268292682926829
1981,KCK,0.33625609756097563,30,82,0.36585365853658536
1981,LAL,0.3330365853658537,57,82,0.6951219512195121
1981,MIL,0.3408658536585366,55,82,0.6707317073170732
1981,NJN,0.32403658536585367,44,82,0.5365853658536586
1981,NYK,0.3362073170731707,33,82,0.4024390243902439
1981,PHL,0.2721707317073171,58,82,0.7073170731707317
1981,PHX,0.342,46,82,0.5609756097560976
1981,POR,0.33625609756097563,42,82,0.5121951219512195
1981,SAN,0.338109756097561,48,82,0.5853658536585366
1981,SDC,0.33106097560975606,17,82,0.2073170731707317
1981,SEA,0.3364390243902439,52,82,0.6341463414634146
1981,UTH,0.32389024390243903,25,82,0.3048780487804878
1981,WAS,0.32764634146341465,43,82,0.524390243902439
1982,ATL,0.32836585365853654,43,82,0.524390243902439
1982,BOS,0.3269390243902439,56,82,0.6829268292682927
1982,CHI,0.34302439024390247,28,82,0.34146341463414637
1982,CLE,0.32370731707317074,23,82,0.2804878048780488
1982,DAL,0.34926829268292686,38,82,0.4634146341463415
1982,DEN,0.33625609756097563,45,82,0.5487804878048781
1982,DET,0.32778048780487806,37,82,0.45121951219512196
1982,GOS,0.3321951219512195,30,82,0.36585365853658536
1982,HOU,0.33829268292682924,14,82,0.17073170731707318
1982,IND,0.337109756097561,20,82,0.24390243902439024
1982,KCK,0.3321951219512195,45,82,0.5487804878048781
1982,LAL,0.33625609756097563,58,82,0.7073170731707317
1982,MIL,0.33042682926829264,51,82,0.6219512195121951
1982,NJN,0.31982926829268293,49,82,0.5975609756097561
1982,NYK,0.32778048780487806,44,82,0.5365853658536586
1982,PHL,0.2507439024390244,65,82,0.7926829268292683
1982,PHX,0.33524390243902435,53,82,0.6463414634146342
1982,POR,0.3423536585365854,46,82,0.5609756097560976
1982,SAN,0.34049999999999997,53,82,0.6463414634146342
1982,SDC,0.34256097560975607,25,82,0.3048780487804878
1982,SEA,0.3425365853658537,48,82,0.5853658536585366
1982,UTH,0.3356829268292683,30,82,0.36585365853658536
1982,WAS,0.3322439024390244,42,82,0.5121951219512195
1983,ATL,0.34642682926829266,40,82,0.4878048780487805
1983,BOS,0.3306219512195122,62,82,0.7560975609756098
1983,CHI,0.32795121951219514,27,82,0.32926829268292684
1983,CLE,0.32407317073170727,28,82,0.34146341463414637
1983,DAL,0.35048780487804876,43,82,0.524390243902439
